Name,Category,Description,Url
Fliki,Video,Fliki creates videos from scripts using lifelike voices in under 2 minutes. Transform articles into videos with Text-to-Speech and a rich stock media library.,https://gpte.ai/video/fliki/
Jasper,Writing,"Jasper creates amazing content 10x faster with AI. Best for writing blog posts, social media content, and marketing copy.",https://gpte.ai/writing/jasper/
Looka,Design,Looka is an AI-powered platform that helps you design a logo and build a brand you love.,https://gpte.ai/design/looka/
Profile Picture AI,Image,Profile Picture AI utilizes artificial intelligence to generate a pfps of you that looks perfect and captures who you are. You can be anything or anyone!,https://gpte.ai/image/profile-picture-ai/
Castmagic,Audio,"Castmagic turns podcast audio into ready-to-use content with summaries, bios, key topics, chapter breakdowns, quotes, hooks, and social content.",https://gpte.ai/audio/castmagic/
Adcreative AI,Design,Adcreative.ai generates conversion-focused ad and social media post creatives in seconds. Get better results while saving time.,https://gpte.ai/design/adcreative-ai/
Midjourney,Design,Midjourney is an AI art generator created by an independent research lab exploring new mediums of thought and expanding the imaginative powers of the human species.,https://gpte.ai/design/midjourney/
Github Copilot,Code,"GitHub Copilot suggests code and entire functions in real-time, right from your editor, making it your personal AI programmer.",https://gpte.ai/code/github-copilot/
MakeForms,Productivity,"MakeForms empowers teams to build advanced, visually stunning forms with top-notch security standards, enhanced by AI capabilities.",https://gpte.ai/productivity/makeforms/
MarketingBlocks AI,Productivity,"MarketingBlocks AI is an all-in-one AI marketing assistant that creates landing pages, promo videos, ads, marketing copy, graphics, email swipes, blog posts, articles, art & more in minutes.",https://gpte.ai/productivity/marketingblocks-ai/
Munch,Video,Munch automagically turns long-form videos into short AI-generated clips optimized for virality on social media.,https://gpte.ai/video/munch/
Listnr,Audio,"Listnr is the AI voice generator with voiceovers in 80+ languages. Go from text to voice in seconds, export your voices easily in MP3 or WAV format.",https://gpte.ai/audio/listnr/
Aragon AI,Image,Aragon AI creates HD professional headshots that look exactly like you and increase your chances of getting hired. Look your best with AI-generated photos.,https://gpte.ai/image/aragon-ai/
Notion AI,Productivity,"Notion AI leverages the limitless power of AI in any Notion page, making writing faster, thinking bigger, and augmenting creativity.",https://gpte.ai/productivity/notion-ai/
Copy AI,Writing,Copy AI is an AI-powered copywriter that helps you crush that blank page. Produce high-quality copy with less effort.,https://gpte.ai/writing/copy-ai/
Synthesia,Video,Synthesia generates lifelike AI videos featuring human presenters based on your text script.,https://gpte.ai/video/synthesia/
Patterned AI,Design,Patterned AI generates customized designs for your product or service using AI-generated seamless patterns and thousands of royalty-free stock images.,https://gpte.ai/design/patterned-ai/
Descript,Audio,"Descript is the only tool you need to write, record, transcribe, edit, collaborate, and share your videos and podcasts.",https://gpte.ai/audio/descript/
Genie For Figma,Design,"Genie for Figma simplifies your design and content creation process, making it easy to produce stunning visuals and interfaces.",https://gpte.ai/design/genie-figma/
ChatGPT,Assistant,"ChatGPT optimizes language models for dialogue, making it possible to answer follow-up questions, admit its mistakes, challenge incorrect premises, and reject inappropriate requests.",https://gpte.ai/assistant/chatgpt/
Artsmart.AI,Design,"Artsmart.ai leverages the power of AI trained on the worlds best artists to generate incredible art, stock images, avatars, and portraits.",https://gpte.ai/design/artsmart-ai/
LogoAI,Design,"LogoAI is an AI engine that creates unique logo designs and branding templates based on design best practices for your Word files & ppts, social media, business cards, posters, and flyers.",https://gpte.ai/design/logoai/
Quizgecko,Productivity,"Quizgecko is an AI-powered quiz creator, engaging users with interactive content.",https://gpte.ai/productivity/quizgecko/
Voice AI,Audio,Voice AI is a real-time voice changing tool featuring over 600 celebrity voices that integrates with your favorite apps.,https://gpte.ai/audio/voice-ai/
Stable Diffusion,Design,"Stable Diffusion generates detailed images conditioned on text descriptions, primarily used for text-to-image translations guided by a text prompt.",https://gpte.ai/design/stable-diffusion/
Audioread,Productivity,"Audioread uses AI to let you listen to articles, PDFs, emails, and more in your podcast player or browser.",https://gpte.ai/productivity/audioread/
Copymatic,Writing,"Copymatic uses AI to boost your traffic and save hours of work by automatically writing unique, engaging and high-quality copy or content from long-form blog posts or landing pages to digital ads in seconds.",https://gpte.ai/writing/copymatic/
